ano;codigo_municipio;municipio;uf;ibc;cobertura_pop_4g5g;densidade_smp;hhi_smp;densidade_scm;hhi_scm;adensamento_estacoes;fibra;cobertura_area_agricultavel
2024;1501725;Brasil Novo - PA;PA;32.38;53.9435;40.7;9.0;22.74;59.0;13.15;50.0;3.774
2024;1501758;Brejo Grande do Araguaia - PA;PA;39.91;54.6786;38.79;2.0;0.68;70.0;21.47;100.0;15.1222
2024;1501782;Breu Branco - PA;PA;45.43;70.3224;46.07;41.0;6.43;63.0;14.78;100.0;14.7922
2024;1501808;Breves - PA;PA;23.82;51.964;40.61;55.0;5.18;64.0;5.22;0.0;1.113
2024;1501907;Bujaru - PA;PA;19.69;35.4268;33.33;33.0;2.82;72.0;7.96;0.0;4.9294
2024;1501956;Cachoeira do Piriá - PA;PA;37.52;42.1058;28.18;21.0;3.1;58.0;17.88;100.0;20.6628
2024;1502004;Cachoeira do Arari - PA;PA;20.98;44.7112;33.45;33.0;0.88;70.0;7.92;0.0;6.7095
2024;1502103;Cametá - PA;PA;36.94;64.7324;35.3;55.0;1.79;75.0;9.39;50.0;25.5529
2024;1502152;Canaã dos Carajás - PA;PA;66.08;89.5652;91.52;39.0;67.92;88.0;13.85;100.0;21.055
2024;1502202;Capanema - PA;PA;64.77;90.6887;60.65;65.0;43.47;81.0;14.7;100.0;60.3153
2024;1502301;Capitão Poço - PA;PA;46.8;61.7814;38.7;59.0;16.75;51.0;16.68;100.0;27.421
2024;1502400;Castanhal - PA;PA;67.79;94.1679;64.97;62.0;54.39;76.0;15.17;100.0;66.6234
2024;1502509;Chaves - PA;PA;10.81;11.8701;14.48;22.0;5.86;49.0;6.98;0.0;0.8393
2024;1502608;Colares - PA;PA;36.42;77.6879;37.36;56.0;14.14;14.0;18.48;0.0;76.0071
2024;1502707;Conceição do Araguaia - PA;PA;49.65;73.6545;54.64;41.0;35.73;63.0;12.74;100.0;3.4033
2024;1502756;Concórdia do Pará - PA;PA;44.71;63.5959;46.4;15.0;1.15;72.0;12.37;100.0;33.3859
2024;1502764;Cumaru do Norte - PA;PA;18.27;32.5405;23.62;33.0;21.99;29.0;13.39;0.0;5.7956
2024;1502772;Curionópolis - PA;PA;51.42;91.6071;47.27;44.0;18.13;42.0;23.97;100.0;22.5593
2024;1502806;Curralinho - PA;PA;17.86;38.2464;29.24;13.0;7.07;69.0;6.86;0.0;0.7752
2024;1502855;Curuá - PA;PA;24.21;54.2384;52.44;8.0;1.01;39.0;16.85;0.0;19.9017
2024;1502905;Curuçá - PA;PA;58.87;89.7324;38.82;55.0;15.84;43.0;15.76;100.0;95.8523
2024;1502939;Dom Eliseu - PA;PA;47.4;82.7269;36.2;65.0;16.44;68.0;7.22;100.0;8.1297
2024;1502954;Eldorado do Carajás - PA;PA;44.28;56.2084;49.31;40.0;15.19;56.0;16.99;100.0;10.6491
2024;1503002;Faro - PA;PA;25.99;78.7719;36.06;6.0;10.82;43.0;16.44;0.0;12.919
2024;1503044;Floresta do Araguaia - PA;PA;22.56;56.3886;38.96;21.0;0.34;72.0;5.39;0.0;8.027
2024;1503077;Garrafão do Norte - PA;PA;37.66;62.2909;34.42;30.0;21.26;71.0;13.7;50.0;25.7216
2024;1503093;Goianésia do Pará - PA;PA;47.08;70.5151;45.16;50.0;19.24;75.0;12.93;100.0;4.6781
2024;1503101;Gurupá - PA;PA;15.65;33.4958;28.49;51.0;8.42;17.0;2.95;0.0;0.53
2024;1503200;Igarapé-Açu - PA;PA;53.38;77.6386;47.17;66.0;13.59;49.0;9.25;100.0;58.0315
2024;1503309;Igarapé-Miri - PA;PA;43.41;59.2278;39.3;52.0;1.47;78.0;8.7;100.0;16.7471
2024;1503408;Inhangapi - PA;PA;26.37;57.5556;29.8;13.0;11.69;61.0;9.3;0.0;40.0148
2024;1503457;Ipixuna do Pará - PA;PA;43.14;47.8144;41.9;53.0;5.0;66.0;16.58;100.0;19.1357
2024;1503507;Irituia - PA;PA;49.49;62.2889;36.97;64.0;2.09;61.0;13.76;100.0;59.7783
2024;1503606;Itaituba - PA;PA;47.49;80.68;57.37;31.0;9.86;83.0;8.6;100.0;2.199
2024;1503705;Itupiranga - PA;PA;43.55;64.1451;29.96;56.0;6.09;75.0;13.41;100.0;12.9841
2024;1503754;Jacareacanga - PA;PA;16.9;41.5317;28.44;19.0;7.28;42.0;7.69;0.0;0.9224
2024;1503804;Jacundá - PA;PA;50.13;90.1559;59.16;37.0;14.61;62.0;9.12;100.0;12.3866
2024;1503903;Juruti - PA;PA;27.51;51.9479;45.43;47.0;4.95;83.0;18.53;0.0;5.7094
2024;1504000;Limoeiro do Ajuru - PA;PA;16.8;34.4394;27.49;25.0;1.15;56.0;4.72;0.0;7.835
2024;1504059;Mãe do Rio - PA;PA;56.4;91.5184;48.42;66.0;3.32;41.0;12.15;100.0;76.3759
2024;1504109;Magalhães Barata - PA;PA;38.36;83.9621;33.79;47.0;0.42;79.0;23.73;0.0;66.8579
2024;1504208;Marabá - PA;PA;59.05;90.2262;66.48;65.0;39.86;62.0;26.69;100.0;12.3396
2024;1504307;Maracanã - PA;PA;24.67;62.519;27.23;3.0;8.2;35.0;12.86;0.0;44.1624
2024;1504406;Marapanim - PA;PA;42.43;82.4845;52.71;62.0;20.73;58.0;24.91;0.0;58.5283
2024;1504422;Marituba - PA;PA;64.66;99.9354;64.61;64.0;25.39;40.0;21.01;100.0;80.2431
2024;1504455;Medicilândia - PA;PA;30.76;40.3573;43.31;8.0;17.16;71.0;15.72;50.0;1.6571
2024;1504505;Melgaço - PA;PA;13.31;26.0265;21.34;12.0;6.27;51.0;5.03;0.0;2.2866
2024;1504604;Mocajuba - PA;PA;45.05;77.1234;52.54;52.0;9.71;40.0;6.94;100.0;6.5605
2024;1504703;Moju - PA;PA;40.51;47.1555;31.33;55.0;13.63;66.0;7.16;100.0;10.9823
2024;1504752;Mojuí dos Campos - PA;PA;20.36;77.8511;2.12;32.0;2.24;66.0;3.95;0.0;5.4453
2024;1504802;Monte Alegre - PA;PA;39.7;51.3138;44.14;31.0;14.38;56.0;7.86;100.0;1.9418
2024;1504901;Muaná - PA;PA;24.36;50.4004;39.8;56.0;2.7;73.0;5.11;0.0;5.6835
2024;1504950;Nova Esperança do Piriá - PA;PA;37.11;57.3965;38.63;26.0;11.14;66.0;16.46;50.0;35.3557
2024;1504976;Nova Ipixuna - PA;PA;41.63;59.5755;41.58;27.0;0.85;46.0;24.28;100.0;15.8683
2024;1505007;Nova Timboteua - PA;PA;60.16;77.5033;56.81;56.0;0.36;86.0;22.72;100.0;85.4465
2024;1505031;Novo Progresso - PA;PA;28.01;69.0702;51.01;50.0;8.0;67.0;4.11;0.0;0.8525
2024;1505064;Novo Repartimento - PA;PA;38.47;45.8034;42.81;26.0;5.87;66.0;13.33;100.0;1.6817
2024;1505106;Óbidos - PA;PA;40.7;60.1269;39.09;25.0;3.22;78.0;8.14;100.0;8.1635
